"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/2022","48,463.86","49,524.33","49,619.34","48,383.20","119.82M","-2.13%"
"12/29/2022","49,517.86","49,708.67","50,209.79","49,461.52","63.99M","-0.26%"
"12/28/2022","49,648.21","50,432.78","50,491.09","49,605.38","73.26M","-1.57%"
"12/27/2022","50,440.02","50,305.70","50,838.65","50,277.12","54.77M","0.33%"
"12/26/2022","50,273.89","50,530.63","50,712.39","50,211.37","11.41M","-0.60%"
"12/23/2022","50,578.09","50,052.48","50,759.66","49,864.65","74.94M","0.96%"
"12/22/2022","50,097.22","50,455.89","50,518.00","49,648.11","84.25M","-0.65%"
"12/21/2022","50,426.26","50,182.33","50,791.38","50,034.85","96.01M","0.57%"
"12/20/2022","50,139.42","49,978.45","50,406.57","49,978.45","101.78M","0.39%"
"12/19/2022","49,946.10","49,694.69","50,058.30","49,534.65","96.80M","0.64%"
"12/16/2022","49,630.15","49,361.51","49,686.79","49,113.71","377.28M","0.58%"
"12/15/2022","49,342.34","49,972.95","49,976.49","49,281.23","278.21M","-1.41%"
"12/14/2022","50,047.70","50,430.94","50,452.64","49,781.72","170.81M","-0.57%"
"12/13/2022","50,333.10","50,638.82","51,084.44","50,240.45","284.65M","-0.26%"
"12/09/2022","50,466.25","51,170.62","51,170.89","50,423.74","121.54M","-1.20%"
"12/08/2022","51,078.70","50,721.50","51,298.86","50,721.50","123.03M","0.70%"
"12/07/2022","50,725.96","51,044.03","51,311.40","50,645.19","141.20M","-0.58%"
"12/06/2022","51,020.65","50,683.10","51,481.81","50,494.63","149.91M","0.44%"
"12/05/2022","50,799.46","51,197.73","51,298.01","50,715.01","105.07M","-0.85%"
"12/02/2022","51,234.37","51,407.96","51,647.85","51,030.43","153.35M","-0.43%"
"12/01/2022","51,457.55","51,649.60","51,811.17","51,027.58","185.46M","-0.44%"
"11/30/2022","51,684.86","50,200.93","51,800.36","50,125.81","741.51M","3.01%"
"11/29/2022","50,174.06","51,044.43","51,237.91","50,111.49","164.54M","-1.78%"
"11/28/2022","51,081.33","51,619.81","52,120.23","51,030.90","132.15M","-1.14%"
"11/25/2022","51,668.64","51,968.32","51,968.32","51,289.91","74.04M","-0.60%"
"11/24/2022","51,979.01","51,990.61","52,245.08","51,714.18","28.41M","-0.03%"
"11/23/2022","51,993.95","51,710.02","52,258.73","51,710.02","161.11M","0.45%"
"11/22/2022","51,760.54","51,614.16","52,371.02","51,579.28","221.26M","0.37%"
"11/18/2022","51,569.72","51,468.58","52,040.03","51,326.89","266.75M","0.41%"
"11/17/2022","51,360.87","51,377.05","51,559.41","51,057.38","145.24M","-0.36%"
"11/16/2022","51,544.94","51,526.39","51,710.64","51,362.58","174.86M","-0.21%"
"11/15/2022","51,655.68","51,985.34","52,457.14","51,369.31","151.83M","-0.25%"
"11/14/2022","51,785.13","51,915.63","52,016.44","51,565.35","187.69M","-0.34%"
"11/11/2022","51,959.20","51,086.48","52,126.90","51,086.48","194.49M","1.82%"
"11/10/2022","51,031.71","50,953.17","51,541.63","50,839.37","173.19M","0.96%"
"11/09/2022","50,545.76","50,822.64","51,232.91","50,333.12","180.42M","-0.67%"
"11/08/2022","50,888.47","50,773.96","51,093.05","50,510.84","198.41M","0.25%"
"11/07/2022","50,760.17","51,166.86","51,547.48","50,540.03","174.28M","-0.81%"
"11/04/2022","51,173.75","50,565.16","51,319.88","50,530.20","145.80M","1.91%"
"11/03/2022","50,215.87","50,653.87","50,653.87","49,431.48","256.66M","-1.28%"
"11/01/2022","50,864.85","50,004.42","50,905.67","50,004.42","184.33M","1.89%"
"10/31/2022","49,922.30","49,110.67","49,990.94","48,873.17","188.74M","1.70%"
"10/28/2022","49,086.30","48,896.36","49,131.39","48,482.90","130.27M","0.40%"
"10/27/2022","48,892.56","49,293.77","49,361.58","48,805.41","228.08M","-0.88%"
"10/26/2022","49,327.11","48,596.48","49,408.27","48,501.55","309.66M","1.41%"
"10/25/2022","48,641.27","47,707.60","48,682.06","47,558.73","257.30M","1.83%"
"10/24/2022","47,765.24","47,088.17","47,967.14","47,065.42","187.70M","1.37%"
"10/21/2022","47,120.08","46,351.04","47,172.33","46,306.71","185.02M","1.74%"
"10/20/2022","46,315.41","46,299.81","46,517.34","45,914.58","300.04M","0.21%"
"10/19/2022","46,217.44","46,306.32","46,439.01","46,010.76","180.15M","-0.20%"
"10/18/2022","46,309.23","46,395.20","46,699.46","46,116.39","218.53M","0.19%"
"10/17/2022","46,220.72","45,633.30","46,437.80","45,616.00","182.07M","1.71%"
"10/14/2022","45,443.35","45,859.01","46,062.59","45,380.18","161.60M","-0.71%"
"10/13/2022","45,766.94","45,467.43","46,074.40","45,040.42","211.62M","0.19%"
"10/12/2022","45,679.84","45,759.29","46,114.28","45,501.73","182.45M","-0.25%"
"10/11/2022","45,792.99","45,418.56","46,245.02","45,026.43","177.46M","0.74%"
"10/10/2022","45,457.12","45,688.15","46,077.09","45,388.60","98.82M","-0.59%"
"10/07/2022","45,728.87","46,176.52","46,176.52","45,630.07","152.49M","-1.29%"
"10/06/2022","46,326.68","45,853.68","46,654.91","45,787.32","185.45M","1.05%"
"10/05/2022","45,845.83","45,957.37","45,957.37","45,553.56","163.78M","-0.44%"
"10/04/2022","46,046.58","45,644.03","46,139.18","45,553.29","178.32M","1.36%"
"10/03/2022","45,429.75","44,779.20","45,501.00","44,686.64","197.70M","1.80%"
"09/30/2022","44,626.80","45,094.68","45,300.29","44,558.81","200.73M","-1.05%"
"09/29/2022","45,102.55","45,293.90","45,626.60","44,764.27","154.77M","-0.75%"
"09/28/2022","45,442.21","45,045.04","45,826.95","44,841.51","197.48M","0.97%"
"09/27/2022","45,006.11","44,886.45","45,309.87","44,811.65","130.32M","0.44%"
"09/26/2022","44,808.56","45,410.86","45,514.50","44,740.05","123.14M","-1.29%"
"09/23/2022","45,395.94","46,149.09","46,151.67","45,069.02","150.71M","-2.01%"
"09/22/2022","46,324.92","46,957.63","46,957.63","46,154.87","139.05M","-1.42%"
"09/21/2022","46,992.51","47,111.33","47,432.52","46,906.31","198.28M","-0.16%"
"09/20/2022","47,068.53","46,983.03","47,284.14","46,613.25","220.06M","0.59%"
"09/19/2022","46,793.59","46,712.13","46,863.53","46,098.86","201.32M","0.05%"
"09/15/2022","46,769.78","46,742.11","47,027.50","46,545.13","784.06M","0.05%"
"09/14/2022","46,745.15","47,063.07","47,236.42","46,709.58","168.00M","-0.63%"
"09/13/2022","47,039.74","47,671.99","47,826.64","46,981.97","180.10M","-1.71%"
"09/12/2022","47,860.48","47,168.11","47,944.60","47,124.62","117.73M","1.74%"
"09/09/2022","47,042.94","46,435.40","47,072.99","46,412.05","97.82M","1.64%"
"09/08/2022","46,283.34","46,170.07","46,381.12","45,834.35","127.71M","0.49%"
"09/07/2022","46,056.97","45,870.98","46,169.46","45,482.77","153.89M","0.34%"
"09/06/2022","45,902.89","46,084.84","46,196.99","45,645.76","133.69M","-0.27%"
"09/05/2022","46,026.08","45,905.86","46,087.31","45,535.63","19.21M","0.30%"
"09/02/2022","45,888.63","45,811.16","46,166.54","45,543.79","135.19M","1.11%"
"09/01/2022","45,383.85","44,851.23","45,701.47","44,518.73","176.98M","1.03%"
"08/31/2022","44,919.22","45,909.89","46,055.17","44,844.18","508.03M","-2.18%"
"08/30/2022","45,922.05","46,336.97","46,398.47","45,671.21","121.98M","-0.86%"
"08/29/2022","46,322.10","47,105.90","47,105.90","46,247.28","137.71M","-2.01%"
"08/26/2022","47,272.11","47,711.02","47,754.32","46,992.75","87.46M","-0.95%"
"08/25/2022","47,724.24","47,449.68","47,830.59","47,320.51","109.29M","0.58%"
"08/24/2022","47,449.73","47,936.38","48,133.72","47,393.08","109.54M","-1.09%"
"08/23/2022","47,974.03","48,062.07","48,180.98","47,738.86","135.14M","-0.09%"
"08/22/2022","48,016.61","48,366.14","48,464.22","47,842.62","123.13M","-0.92%"
"08/19/2022","48,463.26","48,677.98","48,698.03","48,386.43","92.41M","-0.55%"
"08/18/2022","48,729.80","48,796.89","48,796.89","48,270.23","104.55M","-0.01%"
"08/17/2022","48,734.04","48,786.30","48,828.89","48,406.44","128.94M","-0.14%"
"08/16/2022","48,801.68","48,624.95","48,944.49","48,537.38","156.30M","0.34%"
"08/15/2022","48,638.36","48,770.31","48,896.10","48,595.13","92.22M","-0.44%"
"08/12/2022","48,853.37","48,546.99","48,909.17","48,429.69","119.23M","0.81%"
"08/11/2022","48,460.55","47,876.66","48,536.66","47,691.08","203.94M","1.36%"
"08/10/2022","47,808.21","47,349.57","48,311.92","47,349.57","182.31M","1.20%"
"08/09/2022","47,241.81","47,148.13","47,349.44","47,050.18","141.71M","-0.24%"
"08/08/2022","47,354.86","46,787.91","47,422.37","46,787.91","162.83M","1.35%"
"08/05/2022","46,723.43","46,688.19","47,023.76","46,283.75","137.29M","-0.41%"
"08/04/2022","46,916.17","47,063.01","47,870.48","46,528.00","183.02M","-0.16%"
"08/03/2022","46,989.61","46,997.33","47,218.05","46,742.94","177.17M","0.19%"
"08/02/2022","46,902.69","47,378.35","47,429.04","46,639.11","170.77M","-1.02%"
"08/01/2022","47,384.56","48,094.47","48,417.03","47,321.53","140.58M","-1.58%"
"07/29/2022","48,144.33","48,057.79","48,338.90","48,017.06","231.04M","0.07%"
"07/28/2022","48,112.27","46,846.39","48,174.27","46,846.39","155.70M","2.71%"
"07/27/2022","46,842.92","46,794.69","46,919.56","46,164.27","171.55M","0.36%"
"07/26/2022","46,674.30","47,217.38","47,265.86","46,485.58","146.33M","-1.12%"
"07/25/2022","47,202.64","47,254.55","47,577.44","47,154.22","97.20M","-0.13%"
"07/22/2022","47,264.86","47,477.69","47,595.79","47,165.38","110.08M","-0.32%"
"07/21/2022","47,416.37","47,223.10","47,488.28","46,767.74","118.34M","0.60%"
"07/20/2022","47,132.49","47,213.02","47,348.42","46,964.39","109.18M","-0.27%"
"07/19/2022","47,259.23","47,090.23","47,511.15","46,805.89","123.13M","0.72%"
