"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2017","2,673.61","2,689.15","2,692.12","2,673.61","","-0.52%"
"12/28/2017","2,687.54","2,686.10","2,687.66","2,682.69","","0.18%"
"12/27/2017","2,682.62","2,682.10","2,685.64","2,678.91","","0.08%"
"12/26/2017","2,680.50","2,679.09","2,682.74","2,677.96","","-0.11%"
"12/22/2017","2,683.34","2,684.22","2,685.35","2,678.13","","-0.05%"
"12/21/2017","2,684.57","2,683.02","2,692.64","2,682.40","","0.20%"
"12/20/2017","2,679.25","2,688.18","2,691.01","2,676.11","","-0.08%"
"12/19/2017","2,681.47","2,692.71","2,694.44","2,680.74","","-0.32%"
"12/18/2017","2,690.16","2,685.92","2,694.97","2,685.92","","0.54%"
"12/15/2017","2,675.81","2,660.63","2,679.63","2,659.14","","0.90%"
"12/14/2017","2,652.01","2,665.87","2,668.09","2,652.01","","-0.41%"
"12/13/2017","2,662.85","2,667.59","2,671.88","2,662.85","","-0.05%"
"12/12/2017","2,664.11","2,661.73","2,669.72","2,659.78","","0.15%"
"12/11/2017","2,659.99","2,652.19","2,660.33","2,651.47","","0.32%"
"12/08/2017","2,651.50","2,646.21","2,651.65","2,644.10","","0.55%"
"12/07/2017","2,636.98","2,628.38","2,640.99","2,626.53","","0.29%"
"12/06/2017","2,629.27","2,626.24","2,634.41","2,624.75","","-0.01%"
"12/05/2017","2,629.57","2,639.78","2,648.72","2,627.73","","-0.37%"
"12/04/2017","2,639.44","2,657.19","2,665.19","2,639.03","","-0.11%"
"12/01/2017","2,642.22","2,645.10","2,650.62","2,605.52","","-0.20%"
"11/30/2017","2,647.58","2,633.93","2,657.74","2,633.93","","0.82%"
"11/29/2017","2,626.07","2,627.82","2,634.89","2,620.32","","-0.04%"
"11/28/2017","2,627.04","2,605.94","2,627.69","2,605.44","","0.98%"
"11/27/2017","2,601.42","2,602.66","2,606.41","2,598.87","","-0.04%"
"11/24/2017","2,602.42","2,600.42","2,604.21","2,600.42","","0.21%"
"11/22/2017","2,597.08","2,600.31","2,600.94","2,595.23","","-0.08%"
"11/21/2017","2,599.03","2,589.17","2,601.19","2,589.17","","0.65%"
"11/20/2017","2,582.14","2,579.49","2,584.64","2,578.24","","0.13%"
"11/17/2017","2,578.85","2,582.94","2,583.96","2,577.62","","-0.26%"
"11/16/2017","2,585.64","2,572.95","2,590.09","2,572.95","","0.82%"
"11/15/2017","2,564.62","2,569.45","2,572.84","2,557.45","","-0.55%"
"11/14/2017","2,578.87","2,577.75","2,579.66","2,566.56","","-0.23%"
"11/13/2017","2,584.84","2,576.53","2,587.66","2,574.48","","0.10%"
"11/10/2017","2,582.30","2,580.18","2,583.81","2,575.57","","-0.09%"
"11/09/2017","2,584.62","2,584.00","2,586.50","2,566.33","","-0.38%"
"11/08/2017","2,594.38","2,588.71","2,595.47","2,585.02","","0.14%"
"11/07/2017","2,590.64","2,592.11","2,597.02","2,584.35","","-0.02%"
"11/06/2017","2,591.13","2,587.47","2,593.38","2,585.66","","0.13%"
"11/03/2017","2,587.84","2,581.93","2,588.42","2,576.77","","0.31%"
"11/02/2017","2,579.85","2,579.46","2,581.11","2,566.17","","0.02%"
"11/01/2017","2,579.36","2,583.21","2,588.40","2,574.92","","0.16%"
"10/31/2017","2,575.26","2,575.99","2,578.29","2,572.15","","0.09%"
"10/30/2017","2,572.83","2,577.75","2,580.03","2,568.25","","-0.32%"
"10/27/2017","2,581.07","2,570.26","2,582.98","2,565.94","","0.81%"
"10/26/2017","2,560.40","2,560.08","2,567.07","2,559.80","","0.13%"
"10/25/2017","2,557.15","2,566.52","2,567.40","2,544.00","","-0.47%"
"10/24/2017","2,569.13","2,568.66","2,572.18","2,565.58","","0.16%"
"10/23/2017","2,564.98","2,578.08","2,578.29","2,564.33","","-0.40%"
"10/20/2017","2,575.21","2,567.56","2,575.44","2,567.56","","0.51%"
"10/19/2017","2,562.10","2,553.39","2,562.36","2,547.92","","0.03%"
"10/18/2017","2,561.26","2,562.87","2,564.11","2,559.67","","0.07%"
"10/17/2017","2,559.36","2,557.17","2,559.71","2,554.69","","0.07%"
"10/16/2017","2,557.64","2,555.57","2,559.47","2,552.64","","0.18%"
"10/13/2017","2,553.17","2,555.66","2,557.65","2,552.09","","0.09%"
"10/12/2017","2,550.93","2,552.88","2,555.33","2,548.31","","-0.17%"
"10/11/2017","2,555.24","2,550.62","2,555.24","2,547.95","","0.18%"
"10/10/2017","2,550.64","2,549.99","2,555.23","2,544.86","","0.23%"
"10/09/2017","2,544.73","2,551.39","2,551.82","2,541.60","","-0.18%"
"10/06/2017","2,549.33","2,547.44","2,549.41","2,543.79","","-0.11%"
"10/05/2017","2,552.07","2,540.86","2,552.51","2,540.02","","0.56%"
"10/04/2017","2,537.74","2,533.48","2,540.53","2,531.80","","0.12%"
"10/03/2017","2,534.58","2,530.34","2,535.13","2,528.85","","0.22%"
"10/02/2017","2,529.12","2,521.20","2,529.23","2,520.40","","0.39%"
"09/29/2017","2,519.36","2,509.96","2,519.44","2,507.99","","0.37%"
"09/28/2017","2,510.06","2,503.41","2,510.81","2,502.93","","0.12%"
"09/27/2017","2,507.04","2,503.30","2,511.75","2,495.91","","0.41%"
"09/26/2017","2,496.84","2,501.04","2,503.51","2,495.12","","0.01%"
"09/25/2017","2,496.66","2,499.39","2,502.54","2,488.03","","-0.22%"
"09/22/2017","2,502.22","2,497.26","2,503.47","2,496.54","","0.06%"
"09/21/2017","2,500.60","2,507.16","2,507.16","2,499.00","","-0.30%"
"09/20/2017","2,508.24","2,506.84","2,508.85","2,496.67","","0.06%"
"09/19/2017","2,506.65","2,506.29","2,507.84","2,503.19","","0.11%"
"09/18/2017","2,503.87","2,502.51","2,508.32","2,499.92","","0.15%"
"09/15/2017","2,500.23","2,495.67","2,500.23","2,493.16","","0.18%"
"09/14/2017","2,495.62","2,494.56","2,498.43","2,491.35","","-0.11%"
"09/13/2017","2,498.37","2,493.89","2,498.37","2,492.14","","0.08%"
"09/12/2017","2,496.48","2,491.94","2,496.77","2,490.37","","0.34%"
"09/11/2017","2,488.11","2,474.52","2,488.95","2,474.52","","1.08%"
"09/08/2017","2,461.43","2,462.25","2,467.11","2,459.40","","-0.15%"
"09/07/2017","2,465.10","2,468.06","2,468.62","2,460.29","","-0.02%"
"09/06/2017","2,465.54","2,463.83","2,469.64","2,459.20","","0.31%"
"09/05/2017","2,457.85","2,470.35","2,471.97","2,446.55","","-0.76%"
"09/01/2017","2,476.55","2,474.42","2,480.38","2,473.85","","0.20%"
"08/31/2017","2,471.65","2,462.65","2,475.01","2,462.65","","0.57%"
"08/30/2017","2,457.59","2,446.06","2,460.31","2,443.77","","0.46%"
"08/29/2017","2,446.30","2,431.94","2,449.19","2,428.20","","0.08%"
"08/28/2017","2,444.24","2,447.35","2,449.12","2,439.03","","0.05%"
"08/25/2017","2,443.05","2,444.72","2,453.96","2,442.22","","0.17%"
"08/24/2017","2,438.97","2,447.91","2,450.39","2,436.19","","-0.21%"
"08/23/2017","2,444.04","2,444.88","2,448.91","2,441.42","","-0.35%"
"08/22/2017","2,452.51","2,433.75","2,454.77","2,433.67","","0.99%"
"08/21/2017","2,428.37","2,425.50","2,430.58","2,417.35","","0.12%"
"08/18/2017","2,425.55","2,427.64","2,440.27","2,420.69","","-0.18%"
"08/17/2017","2,430.01","2,462.95","2,465.02","2,430.01","","-1.54%"
"08/16/2017","2,468.11","2,468.63","2,474.93","2,463.86","","0.14%"
"08/15/2017","2,464.61","2,468.66","2,468.90","2,461.61","","-0.05%"
